Índices,Unidade Judiciária,Ano,Resultado
1,1ª VT de Fortaleza,2023,"115,20%"
2,2ª VT de Fortaleza,2023,"134,90%"
3,3ª VT de Fortaleza,2023,"112,41%"
4,4ª VT de Fortaleza,2023,"114,27%"
5,5ª VT de Fortaleza,2023,"145,31%"
6,6ª VT de Fortaleza,2023,"77,35%"
7,7ª VT de Fortaleza,2023,"123,25%"
8,8ª VT de Fortaleza,2023,"134,31%"
9,9ª VT de Fortaleza,2023,"105,16%"
10,10ª VT de Fortaleza,2023,"137,38%"
11,11ª VT de Fortaleza,2023,"198,32%"
12,12ª VT de Fortaleza,2023,"117,05%"
13,13ª VT de Fortaleza,2023,"110,62%"
14,14ª VT de Fortaleza,2023,"172,53%"
15,15ª VT de Fortaleza,2023,"130,64%"
16,16ª VT de Fortaleza,2023,"144,65%"
17,17ª VT de Fortaleza,2023,"137,22%"
18,18ª VT de Fortaleza,2023,"66,85%"
19,1ª VT de Aracati,2023,"118,73%"
20,1ª VT de Baturité,2023,"100,88%"
21,1ª VT de Caucaia,2023,"204,63%"
22,1ª VT de Crateus,2023,"119,32%"
23,1ª VT de Eusébio,2023,"120,91%"
24,1ª VT de Iguatu,2023,"111,43%"
25,1ª VT da Região do Cariri,2023,"-1,41%"
26,1ª VT de Limoeiro do Norte,2023,"81,18%"
27,1ª VT de Maracanau,2023,"126,10%"
28,1ª VT de Pacajus,2023,"134,79%"
29,1ª VT de Quixadá,2023,"105,75%"
30,1ª VT de São Gonçalo do Amarante,2023,"147,36%"
31,1ª VT de Sobral,2023,"125,88%"
32,1ª VT de Tianguá,2023,"100,95%"
33,2ª VT de Caucaia,2023,"105,81%"
34,2ª VT da Região do Cariri,2023,"-1,11%"
35,2ª VT de Maracanau,2023,"114,26%"
36,2ª VT de Sobral,2023,"98,37%"
37,3ª VT da Região do Cariri,2023,"-1,16%"
38,Total do 1º Grau,2023,"123,32%"
39,Total da 7ª Região,2023,"114,47%"
1,1ª VT de Fortaleza,2024,"121,08%"
2,2ª VT de Fortaleza,2024,"108,54%"
3,3ª VT de Fortaleza,2024,"127,50%"
4,4ª VT de Fortaleza,2024,"102,48%"
5,5ª VT de Fortaleza,2024,"107,48%"
6,6ª VT de Fortaleza,2024,"274,71%"
7,7ª VT de Fortaleza,2024,"75,31%"
8,8ª VT de Fortaleza,2024,"92,72%"
9,9ª VT de Fortaleza,2024,"118,08%"
10,10ª VT de Fortaleza,2024,"123,65%"
11,11ª VT de Fortaleza,2024,"106,96%"
12,12ª VT de Fortaleza,2024,"95,08%"
13,13ª VT de Fortaleza,2024,"107,20%"
14,14ª VT de Fortaleza,2024,"112,65%"
15,15ª VT de Fortaleza,2024,"96,06%"
16,16ª VT de Fortaleza,2024,"77,07%"
17,17ª VT de Fortaleza,2024,"89,65%"
18,18ª VT de Fortaleza,2024,"106,12%"
19,1ª VT de Aracati,2024,"120,18%"
20,1ª VT de Baturité,2024,"159,57%"
21,1ª VT de Caucaia,2024,"96,82%"
22,1ª VT de Crateus,2024,"103,20%"
23,1ª VT de Eusébio,2024,"89,26%"
24,1ª VT de Iguatu,2024,"115,71%"
25,1ª VT da Região do Cariri,2024,"131,73%"
26,1ª VT de Limoeiro do Norte,2024,"129,23%"
27,1ª VT de Maracanau,2024,"92,33%"
28,1ª VT de Pacajus,2024,"100,25%"
29,1ª VT de Quixadá,2024,"125,01%"
30,1ª VT de São Gonçalo do Amarante,2024,"90,13%"
31,1ª VT de Sobral,2024,"138,28%"
32,1ª VT de Tianguá,2024,"82,31%"
33,2ª VT de Caucaia,2024,"135,41%"
34,2ª VT da Região do Cariri,2024,"108,43%"
35,2ª VT de Maracanau,2024,"98,56%"
36,2ª VT de Sobral,2024,"115,58%"
37,3ª VT da Região do Cariri,2024,"154,17%"
38,Total do 1º Grau,2024,"110,39%"
39,Total da 7ª Região,2024,"112,14%"
